,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
0,Albania,1990,3101.66,1143.87,96.1,17.85,0.57,4360.05
1,Antigua and Barbuda,1990,288.14,98.91,1.58,,2.83,391.4599999999999
2,Argentina,1990,100867.5,76790.2,51823.68,509.26,79.2,230069.84000000003
3,Armenia,1990,21615.96,3169.3,169.57,76.59,0.39,25031.809999999998
4,Australia,1990,278424.66,4975.33,53.48,1620.79,1585.75,286660.00999999995
5,Austria,1990,62124.7,415.66,14.5,216.37,73.63,62844.86
6,Azerbaijan,1990,55893.73,13459.35,3772.7,0.08,,73125.86
7,Bahamas,1990,1894.2,21.0,,,,1915.2
8,Barbados,1990,1564.22,1662.57,49.6,2.38,,3278.77
9,Belarus,1990,103689.71,698.34,55.77,1.38,3.5,104448.70000000001
10,Belgium,1990,120309.34,488.61,33.8,424.16,364.75,121620.66
11,Bolivia (Plurinational State of),1990,5386.19,9351.72,576.6,37.02,11.16,15362.69
12,Bosnia and Herzegovina,1990,26461.07,4454.52,3127.9,83.07,453.16,34579.72
13,Brazil,1990,213555.0,232927.8,103022.3,1170.5,,550675.6
14,Bulgaria,1990,76698.98,637.47,30.72,257.33,446.05,78070.55
15,Canada,1990,462117.35,3619.4,130.42,,,465867.17
16,Chile,1990,33289.7,10831.8,5797.0,130.1,255.2,50303.799999999996
17,Colombia,1990,49706.5,44386.44,24636.63,232.13,141.81,119103.51000000001
18,Costa Rica,1990,2749.3,3157.23,184.83,30.59,,6121.950000000001
19,Croatia,1990,23329.25,175.3,9.78,100.79,168.12,23783.239999999998
20,Cuba,1990,33899.58,7318.71,6423.2,139.69,477.49,48258.67
21,Cyprus,1990,4656.89,26.46,0.98,16.99,31.75,4733.07
22,Czechia,1990,164204.21,941.12,31.5,727.61,1754.55,167658.98999999996
23,Democratic People's Republic of Korea,1990,178713.0,24801.0,4030.0,459.0,3121.0,211124.0
24,Denmark,1990,54845.67,317.68,27.42,305.42,179.06,55675.24999999999
25,Dominican Republic,1990,8762.93,3039.75,838.24,54.12,77.06,12772.1
26,Ecuador,1990,14252.93,13048.77,151345.1,128.14,,178774.94000000003
27,Egypt,1990,84235.0,22174.74,10329.82,,,116739.56
28,Estonia,1990,36907.24,76.05,4.93,95.56,222.03,37305.81
29,Ethiopia,1990,2307.0,37611.0,3100.0,158.0,11.1,43187.1
30,Finland,1990,56971.87,307.38,21.33,298.29,250.34,57849.21
31,France,1990,403307.24,2795.09,222.75,2114.01,1320.52,409759.61000000004
32,Georgia,1990,35520.0,2545.2,622.85,128.47,,38816.52
33,Germany,1990,1052348.54,4847.7,209.81,2887.11,5442.58,1065735.7400000002
34,Ghana,1990,2861.8,3005.81,2813.56,,,8681.17
35,Greece,1990,83425.55,441.69,25.05,315.35,510.95,84718.59000000001
36,Guatemala,1990,4245.07,4087.86,6409.25,42.58,74.5,14859.26
37,Guyana,1990,1439.0,891.03,223.2,15.0,7.5,2575.7299999999996
38,Hungary,1990,73464.85,468.87,28.11,245.11,829.73,75036.67
39,Iceland,1990,2247.8,24.42,1.27,30.89,24.03,2328.4100000000003
40,Indonesia,1990,142688.19,106113.0,18017.2,17.41,,266835.8
41,Ireland,1990,32944.33,590.43,25.94,172.73,182.93,33916.36000000001
42,Italy,1990,438008.8,1929.9,87.37,2127.05,1783.86,443936.98
43,Japan,1990,1158391.31,1776.74,106.97,1976.83,1250.0,1163501.85
44,Kazakhstan,1990,281213.95,4116.29,59.56,713.56,1043.89,287147.25
45,Kyrgyzstan,1990,20531.57,5357.07,2503.84,78.66,92.65,28563.79
46,Lao People's Democratic Republic,1990,414.91,6414.45,37.2,4.18,,6870.74
47,Latvia,1990,19504.13,143.8,10.7,95.66,100.45,19854.74
48,Liechtenstein,1990,198.97,0.77,0.03,,,199.77
49,Lithuania,1990,35771.82,280.24,17.58,155.89,185.14,36410.67
